DN,sAMAccountName,manager
"CN=Khloe Castro,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",130812,"CN=Hailee Lutz,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Warren Delgado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",855803,"CN=Braelyn Hickman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Allison Dixon,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",891722,"CN=Braelyn Hickman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Dashawn Romero,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",865398,"CN=Fernando Hamilton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Whitney Collins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",417634,"CN=Giovanni Perkins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Paxton Sherman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",168521,"CN=Sergio Shea,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Angeline Fox,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",396060,"CN=Melina Garrett,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ray Obrien,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",300853,"CN=Alfredo Mcknight,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Hudson Madden,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",984972,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Madalynn Weaver,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",629829,"CN=Jaylin Townsend,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Shyanne Dominguez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",516225,"CN=Braelyn Hickman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Mylie Parks,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",939690,"CN=Melina Garrett,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ronald Wiggins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",736404,"CN=Sergio Shea,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Leslie Matthews,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",870672,"CN=Giovanni Perkins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Lucas Shelton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",686443,"CN=Melina Garrett,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Tripp Jimenez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",661590,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Declan Foster,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",325058,"CN=Cali Tyler,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Maximus Moyer,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",991068,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Eileen Morse,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",875017,"CN=Fabian Wilson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Slade Schultz,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",728715,"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Aaliyah Poole,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",875904,"CN=Quinten Mathis,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Todd Aguilar,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",633673,"CN=Patience Underwood,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Diana Zhang,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",167852,"CN=Fernando Hamilton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kyle Ruiz,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",662913,"CN=Kingston Jefferson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Yasmin Hampton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",593753,"CN=Braelyn Hickman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Marianna Decker,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",261504,"CN=Sergio Shea,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Valentino Benton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",117927,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Luciano Pruitt,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",377688,"CN=Melina Garrett,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Hamza Tate,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",510745,"CN=Cali Tyler,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Taniya Ritter,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",830014,"CN=Melina Garrett,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Brycen Pitts,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",377259,"CN=Landen Brennan,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Trinity Clayton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",711510,"CN=Cali Tyler,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Jamal Quinn,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",832550,"CN=Hailee Lutz,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Lea Holt,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",903916,"CN=Jaylee Fry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Cortez Young,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",753327,"CN=Isaiah Landry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Emiliano Glass,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",627032,"CN=Raquel Acosta,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Romeo Duarte,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",668252,"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Gideon Robbins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",954684,"CN=Quinten Mathis,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Moriah Garcia,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",828909,"CN=Jaylee Fry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ayden Downs,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",381888,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Carter Flynn,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",355570,"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Sanford,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",939110,"CN=Sergio Shea,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Jamari Wagner,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",743604,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Odin Riddle,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",745091,"CN=Jaylin Townsend,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Arielle Compton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",772365,"CN=Fabian Wilson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kaitlin David,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",714284,"CN=Hailee Lutz,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Josie Finley,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",388576,"CN=Jaylin Townsend,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Joy Castaneda,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",909288,"CN=Cole Hines,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Miranda Yu,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",229896,"CN=Joy Castaneda,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Korbin Huber,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",832812,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kasen Green,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",269872,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",318510,"CN=Cole Hines,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Aiyana Rubio,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",396580,"CN=Fernando Hamilton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Marc Ponce,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",139717,"CN=Joy Castaneda,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Chad Carney,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",934582,"CN=Myles Peterson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Macy Dickson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",517292,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Adelyn Drake,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",694788,"CN=Cali Tyler,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ashlee Dodson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",520323,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Sherlyn Bird,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",869028,"CN=Giovanni Perkins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Jayson Brandt,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",136092,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Corey Morton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",752460,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kolby Leon,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",756378,"CN=Isaiah Landry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Janessa Berg,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",460375,"CN=Lillianna Ramsey,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Rhett Little,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",620687,"CN=Fernando Hamilton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Roy Roberson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",143055,"CN=Isaiah Landry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Tania Page,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",279972,"CN=Braelyn Hickman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Lilah Hoffman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",554778,"CN=Patience Underwood,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kaley Patel,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",178524,"CN=Fabian Wilson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Christian Byrd,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",983950,"CN=Alfredo Mcknight,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ruth Sexton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",199584,"CN=Isaiah Landry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Danny Yang,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",750816,"CN=Giovanni Perkins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Bryson Reese,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",764462,"CN=Annabella Gonzalez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Raiden Greene,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",926674,"CN=Isaiah Landry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Noe Spencer,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",687794,"CN=Isaiah Landry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Terry Lynch,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",718468,"CN=Braelyn Hickman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Joey Duke,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",427506,"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Spencer Dunn,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",428163,"CN=Raquel Acosta,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Eleanor Woods,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",375044,"CN=Melina Garrett,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Leticia Douglas,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",441634,"CN=Katelyn Moon,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Shania Harrell,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",336717,"CN=Patience Underwood,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Casey Sutton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",548598,"CN=Lillianna Ramsey,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Konnor Maynard,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",990458,"CN=Annabella Gonzalez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Kamron Hardin,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",238236,"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Ashley Kline,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",450986,"CN=Lillianna Ramsey,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Antoine Fitzpatrick,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",982400,"CN=Jaylee Fry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Darien Singleton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",286919,"CN=Melina Garrett,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Shyla Hubbard,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",918121,"CN=Fernando Hamilton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Madison Mcdaniel,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",394762,"CN=Landen Brennan,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Sienna Hinton,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",837107,"CN=Jaylee Fry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Tomas Skinner,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",696688,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Julius Adams,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",518236,"CN=Annabella Gonzalez,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Matthias Rosario,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",579679,"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Marlie Mullins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",192004,"CN=Jasiah Mercado,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Gunner Krause,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",782866,"CN=Giovanni Perkins,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Cheyanne Gallegos,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",591657,"CN=Cali Tyler,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Dalia Scott,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",921098,"CN=Darren Mckinney,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Pamela Yates,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",900249,"CN=Giuliana Holmes,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Keely Lyons,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",471335,"CN=Cali Tyler,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Stacy Friedman,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",123796,"CN=Quinten Mathis,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Jaiden Bailey,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",179471,"CN=Isaiah Landry,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Destiny Buckley,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",477398,"CN=Fabian Wilson,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Michael Navarro,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",288711,"CN=Sergio Shea,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Erica Roberts,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",447007,"CN=Darren Mckinney,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Hannah Moreno,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",802473,"CN=Darren Mckinney,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Charlize Archer,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",750831,"CN=Katelyn Moon,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Landen Brennan,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",988977,"CN=Taniyah Cuevas,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
"CN=Giselle Houston,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com",408503,"CN=Alfredo Mcknight,OU=Enabled Users,OU=User Accounts,DC=contoso,DC=com"
